repository_language,day,count
Puppet,15410.0,126
F#,15410.0,81
Racket,15410.0,78
FORTRAN,15410.0,60
Prolog,15410.0,66
Eiffel,15410.0,21
Assembly,15410.0,66
Arduino,15410.0,48
ASP,15410.0,54
AutoHotkey,15410.0,54
Powershell,15410.0,57
Ioke,15410.0,21
D,15410.0,408
VHDL,15410.0,54
Scheme,15410.0,144
Common Lisp,15410.0,447
Erlang,15410.0,435
Rust,15410.0,114
OCaml,15410.0,339
Haskell,15410.0,1077
HaXe,15410.0,96
Lua,15410.0,759
Go,15410.0,363
ActionScript,15410.0,531
ColdFusion,15410.0,75
Tcl,15410.0,21
Perl,15410.0,1608
CoffeeScript,15410.0,1065
Gosu,15410.0,3
Ada,15410.0,6
Coq,15410.0,12
Boo,15410.0,3
Nemerle,15410.0,6
Pure Data,15410.0,6
Parrot,15410.0,18
Elixir,15410.0,9
Dylan,15410.0,6
Rebol,15410.0,12
Nimrod,15410.0,3
SuperCollider,15410.0,27
Factor,15410.0,3
Arc,15410.0,3
Standard ML,15410.0,21
Opa,15410.0,12
Modelica,15410.0,21
Smalltalk,15410.0,63
Scilab,15410.0,21
Verilog,15410.0,39
XQuery,15410.0,12
Visual Basic,15410.0,84
Groovy,15410.0,534
R,15410.0,171
JavaScript,15410.0,28212
Ruby,15410.0,21105
Java,15410.0,18324
VimL,15410.0,1812
PHP,15410.0,17664
C#,15410.0,4551
C,15410.0,9702
Vala,15410.0,75
Clojure,15410.0,1224
Scala,15410.0,1317
Python,15410.0,15087
Shell,15410.0,3720
Objective-C,15410.0,4077
C++,15410.0,9741
Delphi,15410.0,144
Matlab,15410.0,249
Objective-J,15410.0,51
Emacs Lisp,15410.0,1002
Vala,15411.0,72
Common Lisp,15411.0,483
Arc,15411.0,9
Scheme,15411.0,159
Elixir,15411.0,45
Visual Basic,15411.0,96
Pure Data,15411.0,33
Coq,15411.0,45
AutoHotkey,15411.0,39
Modelica,15411.0,21
Eiffel,15411.0,72
ColdFusion,15411.0,384
HaXe,15411.0,135
Assembly,15411.0,126
Scilab,15411.0,66
Tcl,15411.0,69
R,15411.0,666
Factor,15411.0,3
XQuery,15411.0,15
Ruby,15411.0,42129
Verilog,15411.0,57
Opa,15411.0,27
