repository_language,day,count
Racket,15410.0,51
Standard ML,15410.0,21
Opa,15410.0,9
Smalltalk,15410.0,57
Scilab,15410.0,18
F#,15410.0,54
Puppet,15410.0,81
Visual Basic,15410.0,48
VHDL,15410.0,54
Powershell,15410.0,12
FORTRAN,15410.0,39
Prolog,15410.0,60
Eiffel,15410.0,15
Assembly,15410.0,45
Arduino,15410.0,45
ASP,15410.0,36
AutoHotkey,15410.0,48
Rebol,15410.0,6
Ada,15410.0,3
Coq,15410.0,6
Tcl,15410.0,12
Modelica,15410.0,9
Nemerle,15410.0,3
Parrot,15410.0,12
Elixir,15410.0,3
Dylan,15410.0,3
Ioke,15410.0,21
Vala,15410.0,21
Verilog,15410.0,21
Nimrod,15410.0,3
Pure Data,15410.0,3
Objective-J,15410.0,9
SuperCollider,15410.0,24
Factor,15410.0,3
JavaScript,15410.0,15066
PHP,15410.0,9132
Common Lisp,15410.0,270
Matlab,15410.0,228
Lua,15410.0,558
Haskell,15410.0,729
ActionScript,15410.0,261
C,15410.0,5883
Python,15410.0,8250
OCaml,15410.0,180
C#,15410.0,2469
Shell,15410.0,2532
Ruby,15410.0,11769
Gosu,15410.0,3
C++,15410.0,6048
Objective-C,15410.0,1560
Java,15410.0,11037
Emacs Lisp,15410.0,645
HaXe,15410.0,75
D,15410.0,240
Rust,15410.0,21
Scheme,15410.0,129
R,15410.0,105
ColdFusion,15410.0,27
Delphi,15410.0,81
Erlang,15410.0,216
VimL,15410.0,1383
Go,15410.0,195
Scala,15410.0,678
Clojure,15410.0,669
CoffeeScript,15410.0,597
Groovy,15410.0,378
Perl,15410.0,1059
Python,15411.0,16380
VimL,15411.0,2430
Vala,15411.0,42
ASP,15411.0,60
FORTRAN,15411.0,87
Smalltalk,15411.0,63
Ada,15411.0,3
Parrot,15411.0,3
Erlang,15411.0,456
Go,15411.0,273
Puppet,15411.0,375
F#,15411.0,63
Prolog,15411.0,156
ColdFusion,15411.0,183
SuperCollider,15411.0,33
Io,15411.0,9
Racket,15411.0,72
HaXe,15411.0,72
Scheme,15411.0,144
Groovy,15411.0,435
Pure Data,15411.0,30
Rebol,15411.0,15
Visual Basic,15411.0,66
Standard ML,15411.0,63
Factor,15411.0,3
Elixir,15411.0,15
XQuery,15411.0,9
Coq,15411.0,33
Tcl,15411.0,57
Modelica,15411.0,9
AutoHotkey,15411.0,27
Scilab,15411.0,63
Opa,15411.0,15
Boo,15411.0,6
Arc,15411.0,6
PHP,15411.0,15660
Rust,15411.0,72
Scala,15411.0,1188
Eiffel,15411.0,69
Delphi,15411.0,159
C#,15411.0,3711
Matlab,15411.0,576
Assembly,15411.0,84
Shell,15411.0,4197
Perl,15411.0,2208
C++,15411.0,10050
Verilog,15411.0,57
C,15411.0,8772
CoffeeScript,15411.0,987
Java,15411.0,20553
Objective-C,15411.0,3042
JavaScript,15411.0,25770
Ruby,15411.0,21891
ActionScript,15411.0,483
Lua,15411.0,594
Clojure,15411.0,705
Haskell,15411.0,1302
Arduino,15411.0,99
Powershell,15411.0,60
D,15411.0,207
Emacs Lisp,15411.0,915
Common Lisp,15411.0,279
VHDL,15411.0,57
R,15411.0,354
Nemerle,15411.0,15
Nimrod,15411.0,3
Objective-J,15411.0,66
OCaml,15411.0,303
ActionScript,15412.0,447
Standard ML,15412.0,42
Groovy,15412.0,333
Clojure,15412.0,846
R,15412.0,570
OCaml,15412.0,267
Puppet,15412.0,360
Boo,15412.0,48
Visual Basic,15412.0,120
Erlang,15412.0,399
Matlab,15412.0,288
Common Lisp,15412.0,240
Lua,15412.0,570
Factor,15412.0,9
Dylan,15412.0,6
Go,15412.0,354
CoffeeScript,15412.0,1125
ASP,15412.0,54
Verilog,15412.0,93
C++,15412.0,9900
PHP,15412.0,14856
Ruby,15412.0,21729
JavaScript,15412.0,27483
C,15412.0,8973
VimL,15412.0,2730
Python,15412.0,17226
Scala,15412.0,1299
Shell,15412.0,4539
Perl,15412.0,2217
Ada,15412.0,3
Opa,15412.0,6
SuperCollider,15412.0,27
C#,15412.0,3840
Emacs Lisp,15412.0,924
Objective-C,15412.0,2634
Haskell,15412.0,1170
D,15412.0,198
Delphi,15412.0,261
Eiffel,15412.0,27
Io,15412.0,6
Smalltalk,15412.0,69
Java,15412.0,21327
Fancy,15412.0,3
Vala,15412.0,30
Tcl,15412.0,27
Nemerle,15412.0,9
Coq,15412.0,3
FORTRAN,15412.0,84
XQuery,15412.0,9
Objective-J,15412.0,45
AutoHotkey,15412.0,39
Arc,15412.0,9
Arduino,15412.0,66
Powershell,15412.0,99
Assembly,15412.0,102
Scilab,15412.0,63
Scheme,15412.0,168
VHDL,15412.0,42
ColdFusion,15412.0,141
HaXe,15412.0,75
Racket,15412.0,75
Nu,15412.0,3
Prolog,15412.0,162
Pure Data,15412.0,24
F#,15412.0,60
Elixir,15412.0,9
Rust,15412.0,144
Ioke,15412.0,9
Rebol,15412.0,9
Modelica,15412.0,12
Smalltalk,15413.0,18
Powershell,15413.0,54
Common Lisp,15413.0,207
OCaml,15413.0,348
Rust,15413.0,147
Matlab,15413.0,423
Objective-C,15413.0,2838
Erlang,15413.0,306
R,15413.0,474
ActionScript,15413.0,489
SuperCollider,15413.0,69
CoffeeScript,15413.0,768
Delphi,15413.0,255
D,15413.0,138
Haskell,15413.0,852
Emacs Lisp,15413.0,921
Lua,15413.0,603
Rebol,15413.0,24
Scheme,15413.0,69
Tcl,15413.0,27
Objective-J,15413.0,63
Boo,15413.0,33
Puppet,15413.0,318
Groovy,15413.0,582
Nimrod,15413.0,3
Coq,15413.0,21
F#,15413.0,63
VHDL,15413.0,87
Visual Basic,15413.0,48
Elixir,15413.0,30
PHP,15413.0,14850
JavaScript,15413.0,25827
Go,15413.0,423
Ruby,15413.0,18984
Python,15413.0,16251
Scala,15413.0,1164
Verilog,15413.0,78
C++,15413.0,9450
Racket,15413.0,99
Io,15413.0,3
VimL,15413.0,2262
C#,15413.0,3492
FORTRAN,15413.0,93
Perl,15413.0,2088
Shell,15413.0,4116
Clojure,15413.0,591
Java,15413.0,20550
Eiffel,15413.0,18
AutoHotkey,15413.0,12
Dylan,15413.0,9
Ada,15413.0,18
Gosu,15413.0,6
XQuery,15413.0,12
Vala,15413.0,33
Scilab,15413.0,24
Parrot,15413.0,3
C,15413.0,9558
Opa,15413.0,15
ASP,15413.0,51
ColdFusion,15413.0,60
Modelica,15413.0,6
Nemerle,15413.0,18
Assembly,15413.0,186
HaXe,15413.0,123
Prolog,15413.0,123
Arduino,15413.0,102
Standard ML,15413.0,42
Standard ML,15414.0,66
Vala,15414.0,30
Visual Basic,15414.0,33
Racket,15414.0,87
Rust,15414.0,126
Gosu,15414.0,9
ASP,15414.0,42
AutoHotkey,15414.0,18
ColdFusion,15414.0,60
Common Lisp,15414.0,120
Scheme,15414.0,108
FORTRAN,15414.0,126
Scilab,15414.0,3
Objective-J,15414.0,42
Dylan,15414.0,6
Self,15414.0,6
XQuery,15414.0,3
Powershell,15414.0,102
Elixir,15414.0,9
Coq,15414.0,21
SuperCollider,15414.0,36
Ioke,15414.0,6
Ada,15414.0,3
Smalltalk,15414.0,9
Rebol,15414.0,6
Nemerle,15414.0,15
JavaScript,15414.0,24585
Prolog,15414.0,171
Puppet,15414.0,288
Lua,15414.0,618
CoffeeScript,15414.0,936
Go,15414.0,330
Objective-C,15414.0,2925
VimL,15414.0,2640
Matlab,15414.0,477
Ruby,15414.0,19887
C#,15414.0,3885
Perl,15414.0,2166
C++,15414.0,9441
Python,15414.0,14922
C,15414.0,10563
PHP,15414.0,14739
Java,15414.0,19938
Emacs Lisp,15414.0,966
Groovy,15414.0,447
HaXe,15414.0,69
Shell,15414.0,4023
Haskell,15414.0,846
Verilog,15414.0,90
Clojure,15414.0,561
Tcl,15414.0,36
Pure Data,15414.0,3
F#,15414.0,33
Arduino,15414.0,93
Boo,15414.0,39
ActionScript,15414.0,630
Delphi,15414.0,162
R,15414.0,519
Assembly,15414.0,180
D,15414.0,171
Scala,15414.0,1191
Turing,15414.0,3
Eiffel,15414.0,9
Modelica,15414.0,3
VHDL,15414.0,78
Erlang,15414.0,504
OCaml,15414.0,387
Arc,15415.0,3
Smalltalk,15415.0,3
Modelica,15415.0,3
Factor,15415.0,3
Coq,15415.0,21
Parrot,15415.0,15
Dylan,15415.0,6
D,15415.0,234
F#,15415.0,48
Bro,15415.0,18
Nemerle,15415.0,18
Tcl,15415.0,27
Powershell,15415.0,48
Elixir,15415.0,21
Pure Data,15415.0,15
Nimrod,15415.0,6
HaXe,15415.0,24
Rebol,15415.0,9
Io,15415.0,9
AutoHotkey,15415.0,30
SuperCollider,15415.0,33
ASP,15415.0,15
Boo,15415.0,33
Eiffel,15415.0,75
Opa,15415.0,6
Scilab,15415.0,36
Groovy,15415.0,444
Lua,15415.0,612
Erlang,15415.0,420
ActionScript,15415.0,558
Matlab,15415.0,252
VHDL,15415.0,54
Prolog,15415.0,81
Common Lisp,15415.0,162
Verilog,15415.0,54
Arduino,15415.0,87
ColdFusion,15415.0,81
Delphi,15415.0,189
FORTRAN,15415.0,87
CoffeeScript,15415.0,1005
Puppet,15415.0,312
Ada,15415.0,6
Assembly,15415.0,99
Racket,15415.0,87
Standard ML,15415.0,99
Scheme,15415.0,120
Visual Basic,15415.0,33
Go,15415.0,384
Scala,15415.0,1332
JavaScript,15415.0,24795
Shell,15415.0,3657
Haskell,15415.0,966
C++,15415.0,8991
C#,15415.0,3168
Python,15415.0,15024
C,15415.0,8478
VimL,15415.0,2325
Java,15415.0,19899
PHP,15415.0,13800
Perl,15415.0,1791
Ruby,15415.0,18990
Vala,15415.0,45
Objective-J,15415.0,69
Clojure,15415.0,639
XQuery,15415.0,3
R,15415.0,360
Rust,15415.0,108
OCaml,15415.0,354
Objective-C,15415.0,2556
Emacs Lisp,15415.0,894
Coq,15416.0,12
Nemerle,15416.0,15
Racket,15416.0,60
Objective-J,15416.0,27
Boo,15416.0,3
HaXe,15416.0,54
Scheme,15416.0,54
Scilab,15416.0,9
Puppet,15416.0,147
AutoHotkey,15416.0,33
Common Lisp,15416.0,189
Powershell,15416.0,12
Modelica,15416.0,117
XQuery,15416.0,6
Opa,15416.0,30
Gosu,15416.0,6
Pure Data,15416.0,3
Io,15416.0,6
Smalltalk,15416.0,3
Dylan,15416.0,6
Rebol,15416.0,6
ASP,15416.0,12
Elixir,15416.0,6
Matlab,15416.0,162
VimL,15416.0,1800
D,15416.0,204
Rust,15416.0,48
ActionScript,15416.0,192
Go,15416.0,306
Scala,15416.0,681
Shell,15416.0,3012
Ruby,15416.0,13428
ColdFusion,15416.0,42
Lua,15416.0,753
Delphi,15416.0,177
Perl,15416.0,1551
Java,15416.0,12042
PHP,15416.0,9021
Haskell,15416.0,771
C,15416.0,7164
C#,15416.0,2784
Objective-C,15416.0,1953
Python,15416.0,9450
JavaScript,15416.0,17445
C++,15416.0,7443
Emacs Lisp,15416.0,936
Standard ML,15416.0,12
Vala,15416.0,51
VHDL,15416.0,42
Tcl,15416.0,9
Nimrod,15416.0,9
Eiffel,15416.0,30
Erlang,15416.0,345
Visual Basic,15416.0,126
Prolog,15416.0,90
FORTRAN,15416.0,33
Groovy,15416.0,174
F#,15416.0,69
OCaml,15416.0,219
Assembly,15416.0,84
Clojure,15416.0,432
Factor,15416.0,3
Arduino,15416.0,201
SuperCollider,15416.0,72
R,15416.0,183
Verilog,15416.0,48
CoffeeScript,15416.0,543
Common Lisp,15417.0,198
Powershell,15417.0,51
Haskell,15417.0,831
Matlab,15417.0,339
Shell,15417.0,3213
Groovy,15417.0,243
Rust,15417.0,72
Perl,15417.0,1524
CoffeeScript,15417.0,567
Scala,15417.0,900
Clojure,15417.0,492
Puppet,15417.0,153
Lua,15417.0,822
Erlang,15417.0,324
ColdFusion,15417.0,15
OCaml,15417.0,171
Racket,15417.0,57
ActionScript,15417.0,336
Emacs Lisp,15417.0,1035
R,15417.0,183
Assembly,15417.0,105
C,15417.0,7197
VimL,15417.0,2103
C#,15417.0,3135
Python,15417.0,10185
Java,15417.0,13773
Objective-C,15417.0,2175
PHP,15417.0,10917
D,15417.0,231
JavaScript,15417.0,17973
Ruby,15417.0,15105
C++,15417.0,7638
Prolog,15417.0,69
F#,15417.0,63
Standard ML,15417.0,54
Factor,15417.0,6
ASP,15417.0,3
Eiffel,15417.0,12
Io,15417.0,6
Arc,15417.0,6
Elixir,15417.0,3
VHDL,15417.0,51
Vala,15417.0,45
HaXe,15417.0,63
Verilog,15417.0,105
Modelica,15417.0,111
Dylan,15417.0,3
Nimrod,15417.0,6
Opa,15417.0,3
Nemerle,15417.0,9
Go,15417.0,369
FORTRAN,15417.0,24
AutoHotkey,15417.0,36
Objective-J,15417.0,36
Coq,15417.0,27
Delphi,15417.0,96
Scheme,15417.0,123
Tcl,15417.0,15
Visual Basic,15417.0,45
XQuery,15417.0,9
SuperCollider,15417.0,15
Boo,15417.0,3
Ada,15417.0,45
Arduino,15417.0,60
Parrot,15418.0,3
Modelica,15418.0,9
VimL,15418.0,2631
Arduino,15418.0,96
Matlab,15418.0,366
Groovy,15418.0,390
Haskell,15418.0,840
XQuery,15418.0,6
HaXe,15418.0,84
Nemerle,15418.0,36
Coq,15418.0,18
ActionScript,15418.0,513
Delphi,15418.0,111
Scheme,15418.0,69
Ada,15418.0,42
SuperCollider,15418.0,24
Pure Data,15418.0,63
Erlang,15418.0,402
Tcl,15418.0,9
Vala,15418.0,48
Prolog,15418.0,102
Powershell,15418.0,222
AutoHotkey,15418.0,21
FORTRAN,15418.0,90
Common Lisp,15418.0,207
D,15418.0,213
Verilog,15418.0,93
Racket,15418.0,105
OpenEdge ABL,15418.0,6
VHDL,15418.0,54
Eiffel,15418.0,42
Go,15418.0,384
JavaScript,15418.0,27297
Java,15418.0,21765
OCaml,15418.0,336
C++,15418.0,9552
Shell,15418.0,4896
PHP,15418.0,15843
C,15418.0,9018
CoffeeScript,15418.0,891
Python,15418.0,16290
R,15418.0,468
Ruby,15418.0,18984
C#,15418.0,3609
Clojure,15418.0,549
Nimrod,15418.0,9
Perl,15418.0,2076
Scilab,15418.0,12
Assembly,15418.0,93
Scala,15418.0,1062
Emacs Lisp,15418.0,1056
Lua,15418.0,750
F#,15418.0,66
Visual Basic,15418.0,48
Puppet,15418.0,279
Objective-J,15418.0,24
Rust,15418.0,120
Objective-C,15418.0,2865
Elixir,15418.0,45
Standard ML,15418.0,51
Io,15418.0,3
Arc,15418.0,3
Ioke,15418.0,6
ASP,15418.0,27
ColdFusion,15418.0,51
Factor,15418.0,3
Emacs Lisp,15419.0,1080
Clojure,15419.0,723
CoffeeScript,15419.0,702
Scheme,15419.0,177
Puppet,15419.0,450
C,15419.0,9303
Haskell,15419.0,969
Python,15419.0,17211
Erlang,15419.0,396
Verilog,15419.0,144
Racket,15419.0,57
OCaml,15419.0,258
Go,15419.0,381
Factor,15419.0,3
Delphi,15419.0,126
Coq,15419.0,36
R,15419.0,519
Matlab,15419.0,423
Lua,15419.0,447
Scala,15419.0,1281
Groovy,15419.0,399
Powershell,15419.0,423
Shell,15419.0,4398
Objective-C,15419.0,3144
Common Lisp,15419.0,234
C#,15419.0,3867
Perl,15419.0,2118
ActionScript,15419.0,618
Ruby,15419.0,19872
Java,15419.0,22533
VimL,15419.0,2781
JavaScript,15419.0,28674
AutoHotkey,15419.0,30
Rebol,15419.0,12
Tcl,15419.0,39
Elixir,15419.0,21
Arc,15419.0,9
Boo,15419.0,6
Bro,15419.0,3
Nemerle,15419.0,21
VHDL,15419.0,75
Ioke,15419.0,3
Prolog,15419.0,78
C++,15419.0,9876
PHP,15419.0,15360
ColdFusion,15419.0,93
